epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
127,7212.74,0.36849,0.24762,0.80484,0.96121,0.96913,0.97943,0.82703,0.6045,0.3116,0.88333,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,7267.77,0.36872,0.24608,0.80432,0.96103,0.96707,0.98018,0.82568,0.60166,0.30667,0.88038,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,7322.79,0.36351,0.24532,0.8045,0.96436,0.96599,0.98023,0.82843,0.60295,0.30249,0.88105,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,7377.89,0.36538,0.2449,0.8038,0.96429,0.9715,0.98123,0.83039,0.60348,0.30075,0.87811,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,7432.92,0.37036,0.24438,0.80427,0.95689,0.97111,0.98084,0.82875,0.60004,0.30773,0.8795,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,7487.99,0.36383,0.24287,0.80321,0.97263,0.9684,0.97994,0.83006,0.60143,0.30069,0.87778,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,7543.2,0.36403,0.24217,0.80309,0.97133,0.9648,0.97968,0.83116,0.59842,0.29904,0.87816,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,7598.17,0.35688,0.23888,0.80536,0.96467,0.96884,0.98002,0.82867,0.60152,0.30008,0.88046,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,7653.07,0.36306,0.2416,0.80393,0.96801,0.96602,0.9814,0.8273,0.59968,0.29276,0.8788,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,7708.18,0.36533,0.24263,0.80387,0.96729,0.96673,0.97991,0.82637,0.59783,0.29912,0.87812,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
